"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"559","37.809853","host","3.6.0","USBHID","154","0017000000380f030000000010faa300faa300faa300faa300faa300faa300faa300faa300faa300faa300faa300faa300faa300faa300faa300faa300faa3000000000000000000000000000000000000000000000000007d00","SET_REPORT Request"
"560","37.810157","3.6.0","host","USBHID","64","","SET_REPORT Response"
"561","37.847417","host","3.6.0","USBHID","154","0018000000380f030000000010faa500faa500faa500faa500faa500faa500faa500faa500faa500faa500faa500faa500faa500faa500faa500faa500faa5000000000000000000000000000000000000000000000000007b00","SET_REPORT Request"
"562","37.847731","3.6.0","host","USBHID","64","","SET_REPORT Response"
"563","37.887233","host","3.6.0","USBHID","154","0019000000380f030000000010faa700faa700faa700faa700faa700faa700faa700faa700faa700faa700faa700faa700faa700faa700faa700faa700faa7000000000000000000000000000000000000000000000000007900","SET_REPORT Request"
"564","37.887544","3.6.0","host","USBHID","64","","SET_REPORT Response"
"565","37.927858","host","3.6.0","USBHID","154","001a000000380f030000000010f9a900f9a900f9a900f9a900f9a900f9a900f9a900f9a900f9a900f9a900f9a900f9a900f9a900f9a900f9a900f9a900f9a9000000000000000000000000000000000000000000000000007400","SET_REPORT Request"
"566","37.928164","3.6.0","host","USBHID","64","","SET_REPORT Response"
"567","37.968049","host","3.6.0","USBHID","154","001b000000380f030000000010f9aa00f9aa00f9aa00f9aa00f9aa00f9aa00f9aa00f9aa00f9aa00f9aa00f9aa00f9aa00f9aa00f9aa00f9aa00f9aa00f9aa000000000000000000000000000000000000000000000000007700","SET_REPORT Request"
"568","37.968358","3.6.0","host","USBHID","64","","SET_REPORT Response"
"569","38.007860","host","3.6.0","USBHID","154","001c000000380f030000000010f9ac00f9ac00f9ac00f9ac00f9ac00f9ac00f9ac00f9ac00f9ac00f9ac00f9ac00f9ac00f9ac00f9ac00f9ac00f9ac00f9ac000000000000000000000000000000000000000000000000007100","SET_REPORT Request"
