"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"107","2.186919","host","3.6.0","USB","154","0000000000380f03000000001000b70000b7000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"108","2.187249","3.6.0","host","USB","64","","URB_CONTROL out"
"109","2.226793","host","3.6.0","USB","154","0001000000380f03000000001000ba0000ba000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"110","2.227160","3.6.0","host","USB","64","","URB_CONTROL out"
"111","2.266136","host","3.6.0","USB","154","0002000000380f03000000001000be0000be000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"112","2.266388","3.6.0","host","USB","64","","URB_CONTROL out"
"113","2.307619","host","3.6.0","USB","154","0003000000380f03000000001000c10000c1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"114","2.307887","3.6.0","host","USB","64","","URB_CONTROL out"
"115","2.346521","host","3.6.0","USB","154","0004000000380f03000000001000c50000c5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"116","2.346787","3.6.0","host","USB","64","","URB_CONTROL out"
"117","2.384638","host","3.6.0","USB","154","0005000000380f03000000001000cb0000cb000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"118","2.384909","3.6.0","host","USB","64","","URB_CONTROL out"
"119","2.465483","host","3.6.0","USB","154","0006000000380f03000000001000cf0000cf000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"120","2.465788","3.6.0","host","USB","64","","URB_CONTROL out"
"121","2.506609","host","3.6.0","USB","154","0007000000380f03000000001000d20000d2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"122","2.506915","3.6.0","host","USB","64","","URB_CONTROL out"
"123","2.548024","host","3.6.0","USB","154","0008000000380f03000000001000d60000d6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"124","2.548397","3.6.0","host","USB","64","","URB_CONTROL out"
"125","2.589346","host","3.6.0","USB","154","0009000000380f03000000001000dc0000dc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"126","2.589646","3.6.0","host","USB","64","","URB_CONTROL out"
"127","2.669416","host","3.6.0","USB","154","000a000000380f03000000001000e00000e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"128","2.669727","3.6.0","host","USB","64","","URB_CONTROL out"
