"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"101","4.398582","host","3.6.0","USB","154","0007000000380f030000000010b71400b71400b71400b71400b71400b71400b71400b71400b71400b71400b71400b71400b71400b71400b71400b71400b714000000000000000000000000000000000000000000000000008700","URB_CONTROL out"
"102","4.398825","3.6.0","host","USB","64","","URB_CONTROL out"
"103","4.470246","host","3.6.0","USB","154","0008000000380f030000000010ba1200ba1200ba1200ba1200ba1200ba1200ba1200ba1200ba1200ba1200ba1200ba1200ba1200ba1200ba1200ba1200ba12000000000000000000000000000000000000000000000000008c00","URB_CONTROL out"
"104","4.470571","3.6.0","host","USB","64","","URB_CONTROL out"
"105","4.508180","host","3.6.0","USB","154","0009000000380f030000000010be1000be1000be1000be1000be1000be1000be1000be1000be1000be1000be1000be1000be1000be1000be1000be1000be10000000000000000000000000000000000000000000000000008a00","URB_CONTROL out"
"106","4.508459","3.6.0","host","USB","64","","URB_CONTROL out"
"107","4.548161","host","3.6.0","USB","154","000a000000380f030000000010c10e00c10e00c10e00c10e00c10e00c10e00c10e00c10e00c10e00c10e00c10e00c10e00c10e00c10e00c10e00c10e00c10e00000000000000000000000000000000000000000000000000eb00","URB_CONTROL out"
"108","4.548464","3.6.0","host","USB","64","","URB_CONTROL out"
"109","4.588123","host","3.6.0","USB","154","000b000000380f030000000010c50d00c50d00c50d00c50d00c50d00c50d00c50d00c50d00c50d00c50d00c50d00c50d00c50d00c50d00c50d00c50d00c50d00000000000000000000000000000000000000000000000000ec00","URB_CONTROL out"
"110","4.588501","3.6.0","host","USB","64","","URB_CONTROL out"
"111","4.629601","host","3.6.0","USB","154","000c000000380f030000000010c80b00c80b00c80b00c80b00c80b00c80b00c80b00c80b00c80b00c80b00c80b00c80b00c80b00c80b00c80b00c80b00c80b00000000000000000000000000000000000000000000000000e700","URB_CONTROL out"
"112","4.629911","3.6.0","host","USB","64","","URB_CONTROL out"
"113","4.670700","host","3.6.0","USB","154","000d000000380f030000000010cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00cb0a00000000000000000000000000000000000000000000000000e500","URB_CONTROL out"
"114","4.671090","3.6.0","host","USB","64","","URB_CONTROL out"
"115","4.709862","host","3.6.0","USB","154","000e000000380f030000000010cf0900cf0900cf0900cf0900cf0900cf0900cf0900cf0900cf0900cf0900cf0900cf0900cf0900cf0900cf0900cf0900cf0900000000000000000000000000000000000000000000000000e200","URB_CONTROL out"
"116","4.710179","3.6.0","host","USB","64","","URB_CONTROL out"
"117","4.751111","host","3.6.0","USB","154","000f000000380f030000000010d20700d20700d20700d20700d20700d20700d20700d20700d20700d20700d20700d20700d20700d20700d20700d20700d20700000000000000000000000000000000000000000000000000f100","URB_CONTROL out"
"118","4.751526","3.6.0","host","USB","64","","URB_CONTROL out"
"119","4.791097","host","3.6.0","USB","154","0010000000380f030000000010d60600d60600d60600d60600d60600d60600d60600d60600d60600d60600d60600d60600d60600d60600d60600d60600d60600000000000000000000000000000000000000000000000000f400","URB_CONTROL out"
"120","4.791524","3.6.0","host","USB","64","","URB_CONTROL out"
"121","4.829482","host","3.6.0","USB","154","0011000000380f030000000010d90500d90500d90500d90500d90500d90500d90500d90500d90500d90500d90500d90500d90500d90500d90500d90500d90500000000000000000000000000000000000000000000000000f800","URB_CONTROL out"
"122","4.829837","3.6.0","host","USB","64","","URB_CONTROL out"
"123","4.868668","host","3.6.0","USB","154","0012000000380f030000000010dc0500dc0500dc0500dc0500dc0500dc0500dc0500dc0500dc0500dc0500dc0500dc0500dc0500dc0500dc0500dc0500dc0500000000000000000000000000000000000000000000000000fd00","URB_CONTROL out"
"124","4.868955","3.6.0","host","USB","64","","URB_CONTROL out"
"125","4.911735","host","3.6.0","USB","154","0013000000380f030000000010e00400e00400e00400e00400e00400e00400e00400e00400e00400e00400e00400e00400e00400e00400e00400e00400e00400000000000000000000000000000000000000000000000000c000","URB_CONTROL out"
"126","4.912119","3.6.0","host","USB","64","","URB_CONTROL out"
"127","4.953931","host","3.6.0","USB","154","0014000000380f030000000010e70200e70200e70200e70200e70200e70200e70200e70200e70200e70200e70200e70200e70200e70200e70200e70200e70200000000000000000000000000000000000000000000000000c100","URB_CONTROL out"
"128","4.954255","3.6.0","host","USB","64","","URB_CONTROL out"
"129","5.038968","host","3.6.0","USB","154","0015000000380f030000000010ed0100ed0100ed0100ed0100ed0100ed0100ed0100ed0100ed0100ed0100ed0100ed0100ed0100ed0100ed0100ed0100ed0100000000000000000000000000000000000000000000000000c800","URB_CONTROL out"
"130","5.039272","3.6.0","host","USB","64","","URB_CONTROL out"
"131","5.109641","host","3.6.0","USB","154","0016000000380f030000000010f10100f10100f10100f10100f10100f10100f10100f10100f10100f10100f10100f10100f10100f10100f10100f10100f10100000000000000000000000000000000000000000000000000d400","URB_CONTROL out"
"132","5.109938","3.6.0","host","USB","64","","URB_CONTROL out"
"133","5.151935","host","3.6.0","USB","154","0017000000380f030000000010f80100f80100f80100f80100f80100f80100f80100f80100f80100f80100f80100f80100f80100f80100f80100f80100f80100000000000000000000000000000000000000000000000000dd00","URB_CONTROL out"
"134","5.152277","3.6.0","host","USB","64","","URB_CONTROL out"
"135","5.194551","host","3.6.0","USB","154","0018000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"136","5.194835","3.6.0","host","USB","64","","URB_CONTROL out"
"137","5.241595","host","3.6.0","USB","154","0019000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"138","5.241897","3.6.0","host","USB","64","","URB_CONTROL out"
"139","5.311569","host","3.6.0","USB","154","001a000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"140","5.311886","3.6.0","host","USB","64","","URB_CONTROL out"
"141","5.350065","host","3.6.0","USB","154","001b000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"142","5.350431","3.6.0","host","USB","64","","URB_CONTROL out"
"143","5.388559","host","3.6.0","USB","154","001c000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"144","5.388866","3.6.0","host","USB","64","","URB_CONTROL out"
"145","5.429653","host","3.6.0","USB","154","001d000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"146","5.429958","3.6.0","host","USB","64","","URB_CONTROL out"
"147","5.467975","host","3.6.0","USB","154","001e000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"148","5.468247","3.6.0","host","USB","64","","URB_CONTROL out"
"149","5.505627","host","3.6.0","USB","154","001f000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"150","5.505939","3.6.0","host","USB","64","","URB_CONTROL out"
"151","5.547851","host","3.6.0","USB","154","0000000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"152","5.548153","3.6.0","host","USB","64","","URB_CONTROL out"
"153","5.589788","host","3.6.0","USB","154","0001000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"154","5.590081","3.6.0","host","USB","64","","URB_CONTROL out"
"155","5.629842","host","3.6.0","USB","154","0002000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"156","5.630096","3.6.0","host","USB","64","","URB_CONTROL out"
"157","5.672433","host","3.6.0","USB","154","0003000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"158","5.672691","3.6.0","host","USB","64","","URB_CONTROL out"
"159","5.712929","host","3.6.0","USB","154","0004000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"160","5.713259","3.6.0","host","USB","64","","URB_CONTROL out"
"161","5.785930","host","3.6.0","USB","154","0005000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"162","5.786235","3.6.0","host","USB","64","","URB_CONTROL out"
"163","5.828286","host","3.6.0","USB","154","0006000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"164","5.828542","3.6.0","host","USB","64","","URB_CONTROL out"
"165","5.869733","host","3.6.0","USB","154","0007000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"166","5.869989","3.6.0","host","USB","64","","URB_CONTROL out"
"167","5.914016","host","3.6.0","USB","154","0008000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"168","5.914331","3.6.0","host","USB","64","","URB_CONTROL out"
"169","5.956582","host","3.6.0","USB","154","0009000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"170","5.956862","3.6.0","host","USB","64","","URB_CONTROL out"
"171","5.997807","host","3.6.0","USB","154","000a000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"172","5.998082","3.6.0","host","USB","64","","URB_CONTROL out"
"173","6.070410","host","3.6.0","USB","154","000b000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"174","6.070703","3.6.0","host","USB","64","","URB_CONTROL out"
"175","6.114342","host","3.6.0","USB","154","000c000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"176","6.114611","3.6.0","host","USB","64","","URB_CONTROL out"
"177","6.156593","host","3.6.0","USB","154","000d000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"178","6.156862","3.6.0","host","USB","64","","URB_CONTROL out"
"179","6.199858","host","3.6.0","USB","154","000e000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"180","6.200155","3.6.0","host","USB","64","","URB_CONTROL out"
"181","9.998236","host","3.6.0","USB","154","000f000000380f030000000010ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"182","9.998585","3.6.0","host","USB","64","","URB_CONTROL out"
