"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"667","20.600829","host","3.6.0","USBHID","154","000c000000380f030000000010b60048b6004891006d4800b62400da0000ff003fbf005f9f009f5f00bf3f00ff002ad40055aa00aa5500d42a00ff0000ff0000000000000000000000000000000000000000000000000000d800","SET_REPORT Request"
"668","20.601209","3.6.0","host","USBHID","64","","SET_REPORT Response"
"669","20.640037","host","3.6.0","USBHID","154","000d000000380f03000000001091006d91006d6d00912400da0000ff001fdf005f9f007f7f00bf3f00df1f00ff0055aa007f7f00d42a00ff0000da0024da00240000000000000000000000000000000000000000000000009800","SET_REPORT Request"
"670","20.640411","3.6.0","host","USBHID","64","","SET_REPORT Response"
"671","20.678489","host","3.6.0","USBHID","154","000e000000380f0300000000106d00916d00914800b60000ff0000ff003fbf007f7f009f5f00df1f00ff002ad4007f7f00aa5500ff0000ff0000b60048b60048000000000000000000000000000000000000000000000000a400","SET_REPORT Request"
"672","20.678946","3.6.0","host","USBHID","64","","SET_REPORT Response"
"673","20.719224","host","3.6.0","USBHID","154","000f000000380f0300000000104800b64800b62400da0000ff001fdf005f9f009f5f00bf3f00ff0000ff0055aa00aa5500d42a00ff0000da002491006d91006d0000000000000000000000000000000000000000000000009a00","SET_REPORT Request"
"674","20.719539","3.6.0","host","USBHID","64","","SET_REPORT Response"
"675","20.758637","host","3.6.0","USBHID","154","0010000000380f0300000000102400da2400da0000ff001fdf003fbf007f7f00bf3f00df1f00ff002ad4007f7f00d42a00ff0000da0024b600486d00916d0091000000000000000000000000000000000000000000000000db00","SET_REPORT Request"
"676","20.759014","3.6.0","host","USBHID","64","","SET_REPORT Response"
"677","20.798324","host","3.6.0","USBHID","154","0011000000380f0300000000100000ff0000ff0000ff003fbf005f9f009f5f00df1f00ff002ad40055aa00aa5500ff0000ff0000b6004891006d4800b64800b60000000000000000000000000000000000000000000000009800","SET_REPORT Request"
"678","20.798680","3.6.0","host","USBHID","64","","SET_REPORT Response"
"679","20.850139","host","3.6.0","USBHID","154","0012000000380f030000000010001fdf001fdf003fbf007f7f009f5f00df1f00ff002ad4007f7f00aa5500ff0000da0024b600486d00914800b60000ff0000ff000000000000000000000000000000000000000000000000a700","SET_REPORT Request"
"680","20.850481","3.6.0","host","USBHID","64","","SET_REPORT Response"
"681","20.890123","host","3.6.0","USBHID","154","0013000000380f030000000010003fbf003fbf005f9f009f5f00bf3f00ff002ad40055aa00aa5500d42a00ff0000b6004891006d4800b62400da0000ff0000ff000000000000000000000000000000000000000000000000a600","SET_REPORT Request"
"682","20.890427","3.6.0","host","USBHID","64","","SET_REPORT Response"
"683","20.930244","host","3.6.0","USBHID","154","0014000000380f030000000010005f9f005f9f007f7f00bf3f00df1f00ff0055aa007f7f00d42a00ff0000da002491006d6d00912400da0000ff001fdf001fdf0000000000000000000000000000000000000000000000009a00","SET_REPORT Request"
"684","20.930693","3.6.0","host","USBHID","64","","SET_REPORT Response"
"685","20.969092","host","3.6.0","USBHID","154","0015000000380f030000000010007f7f007f7f009f5f00df1f00ff002ad4007f7f00aa5500ff0000ff0000b600486d00914800b60000ff0000ff003fbf003fbf0000000000000000000000000000000000000000000000002600","SET_REPORT Request"
"686","20.969395","3.6.0","host","USBHID","64","","SET_REPORT Response"
"687","21.009092","host","3.6.0","USBHID","154","0016000000380f030000000010009f5f009f5f00bf3f00ff0000ff0055aa00aa5500d42a00ff0000da002491006d4800b62400da0000ff001fdf005f9f005f9f0000000000000000000000000000000000000000000000009800","SET_REPORT Request"
"688","21.009396","3.6.0","host","USBHID","64","","SET_REPORT Response"
"689","21.050642","host","3.6.0","USBHID","154","0017000000380f03000000001000bf3f00bf3f00df1f00ff002ad4007f7f00d42a00ff0000da0024b600486d00912400da0000ff001fdf003fbf007f7f007f7f0000000000000000000000000000000000000000000000005900","SET_REPORT Request"
"690","21.051044","3.6.0","host","USBHID","64","","SET_REPORT Response"
"691","21.090638","host","3.6.0","USBHID","154","0018000000380f03000000001000df1f00df1f00ff002ad40055aa00aa5500ff0000ff0000b6004891006d4800b60000ff0000ff003fbf005f9f009f5f009f5f0000000000000000000000000000000000000000000000009900","SET_REPORT Request"
"692","21.090998","3.6.0","host","USBHID","64","","SET_REPORT Response"
"693","21.131251","host","3.6.0","USBHID","154","0019000000380f03000000001000ff0000ff0000ff0055aa007f7f00d42a00ff0000da002491006d6d00912400da0000ff001fdf005f9f007f7f00bf3f00bf3f000000000000000000000000000000000000000000000000da00","SET_REPORT Request"
"694","21.131708","3.6.0","host","USBHID","64","","SET_REPORT Response"
"695","21.170893","host","3.6.0","USBHID","154","001a000000380f03000000001000ff0000ff002ad4007f7f00aa5500ff0000da0024b600486d00914800b60000ff001fdf003fbf007f7f009f5f00df1f00df1f000000000000000000000000000000000000000000000000a700","SET_REPORT Request"
"696","21.171219","3.6.0","host","USBHID","64","","SET_REPORT Response"
"697","21.210392","host","3.6.0","USBHID","154","001b000000380f0300000000102ad4002ad40055aa00aa5500d42a00ff0000b6004891006d4800b62400da0000ff003fbf005f9f009f5f00bf3f00ff0000ff00000000000000000000000000000000000000000000000000d800","SET_REPORT Request"
"698","21.210744","3.6.0","host","USBHID","64","","SET_REPORT Response"
"699","21.249861","host","3.6.0","USBHID","154","001c000000380f03000000001055aa0055aa007f7f00d42a00ff0000da002491006d6d00912400da0000ff001fdf005f9f007f7f00bf3f00df1f00ff0000ff000000000000000000000000000000000000000000000000009a00","SET_REPORT Request"
"700","21.250201","3.6.0","host","USBHID","64","","SET_REPORT Response"
"701","21.289054","host","3.6.0","USBHID","154","001d000000380f0300000000107f7f007f7f00aa5500ff0000ff0000b600486d00914800b60000ff0000ff003fbf007f7f009f5f00df1f00ff002ad4002ad4000000000000000000000000000000000000000000000000005800","SET_REPORT Request"
"702","21.289430","3.6.0","host","USBHID","64","","SET_REPORT Response"
"703","21.330630","host","3.6.0","USBHID","154","001e000000380f030000000010aa5500aa5500d42a00ff0000da002491006d4800b62400da0000ff001fdf005f9f009f5f00bf3f00ff0000ff0055aa0055aa000000000000000000000000000000000000000000000000009800","SET_REPORT Request"
"704","21.330969","3.6.0","host","USBHID","64","","SET_REPORT Response"
"705","21.370498","host","3.6.0","USBHID","154","001f000000380f030000000010d42a00d42a00ff0000da0024b600486d00912400da0000ff001fdf003fbf007f7f00bf3f00df1f00ff002ad4007f7f007f7f000000000000000000000000000000000000000000000000002700","SET_REPORT Request"
"706","21.370804","3.6.0","host","USBHID","64","","SET_REPORT Response"
"707","21.409877","host","3.6.0","USBHID","154","0000000000380f030000000010ff0000ff0000ff0000b6004891006d4800b60000ff0000ff003fbf005f9f009f5f00df1f00ff002ad40055aa00aa5500aa55000000000000000000000000000000000000000000000000009900","SET_REPORT Request"
"708","21.410239","3.6.0","host","USBHID","64","","SET_REPORT Response"
